type,date,bottom,top,lower,upper,median,mean,region,confidence
forecast,2021-04-08,4,28,7,17,16,16.8632,Alaotra-Mangoro,NA
forecast,2021-04-09,1,31,7,18,17,18.1016,Alaotra-Mangoro,NA
forecast,2021-04-10,1,34,6,19,18,19.394,Alaotra-Mangoro,NA
forecast,2021-04-11,2,40,8,22,19,21.4712,Alaotra-Mangoro,NA
forecast,2021-04-12,0,44,5,22,20,22.8828,Alaotra-Mangoro,NA
forecast,2021-04-13,0,50,7,25,21,24.982,Alaotra-Mangoro,NA
forecast,2021-04-14,0,54,5,25,22,27.3984,Alaotra-Mangoro,NA
forecast,2021-04-15,0,60,4,26,23,29.172,Alaotra-Mangoro,NA
forecast,2021-04-16,0,66,5,29,25,32.3616,Alaotra-Mangoro,NA
forecast,2021-04-17,0,73,0,25,25,35.2968,Alaotra-Mangoro,NA
forecast,2021-04-18,0,82,0,26,26,39.9312,Alaotra-Mangoro,NA
forecast,2021-04-19,0,91,0,29,29,42.008,Alaotra-Mangoro,NA
forecast,2021-04-20,0,102,0,29,29,45.5484,Alaotra-Mangoro,NA
forecast,2021-04-21,0,111,0,32,32,52.2524,Alaotra-Mangoro,NA
forecast,2021-04-08,438,583,484,540,518,519.5828,Analamanga,NA
forecast,2021-04-09,469,647,519,589,553,554.4108,Analamanga,NA
forecast,2021-04-10,486,695,545,628,592.5,593.2344,Analamanga,NA
forecast,2021-04-11,512,754,561,657,630.5,633.1864,Analamanga,NA
forecast,2021-04-12,527,817,591,701,671,676.9932,Analamanga,NA
forecast,2021-04-13,561,888,646,775,719,724.8472,Analamanga,NA
forecast,2021-04-14,575,965,676,818,768,775.4412,Analamanga,NA
forecast,2021-04-15,606,1039,709,878,817,826.944,Analamanga,NA
forecast,2021-04-16,637,1131,745,937,875,888.5624,Analamanga,NA
forecast,2021-04-17,682,1255,816,1027,935.5,954.6708,Analamanga,NA
forecast,2021-04-18,679,1332,872,1132,1002,1022.8552,Analamanga,NA
