date,type,bottom,top,lower,upper,median,mean,confidence,region
2020-02-03,nowcast,1,1,1,1,1,1,1,Analamanga
2020-02-04,nowcast,0,0,0,0,0,0,1,Analamanga
2020-02-05,nowcast,1,1,1,1,1,1,1,Analamanga
2020-02-06,nowcast,0,0,0,0,0,0,1,Analamanga
2020-02-07,nowcast,0,0,0,0,0,0,1,Analamanga
2020-02-08,nowcast,0,0,0,0,0,0,1,Analamanga
2020-02-09,nowcast,0,1,1,1,1,0.6666666666666666,1,Analamanga
2020-02-10,nowcast,0,0,0,0,0,0,1,Analamanga
2020-02-11,nowcast,0,0,0,0,0,0,1,Analamanga
2020-02-12,nowcast,0,0,0,0,0,0,1,Analamanga
2020-02-13,nowcast,0,0,0,0,0,0,1,Analamanga
2020-02-14,nowcast,0,1,0,1,0.5,0.5,1,Analamanga
2020-02-15,nowcast,0,1,1,1,1,0.5555555555555556,1,Analamanga
2020-02-16,nowcast,0,1,0,0,0,0.35714285714285715,1,Analamanga
2020-02-17,nowcast,0,1,0,0,0,0.1875,1,Analamanga
2020-02-18,nowcast,0,1,0,0,0,0.23809523809523808,1,Analamanga
2020-02-19,nowcast,0,1,0,0,0,0.35714285714285715,1,Analamanga
2020-02-20,nowcast,0,1,0,0,0,0.35135135135135137,1,Analamanga
2020-02-21,nowcast,0,1,0,0,0,0.30612244897959184,1,Analamanga
2020-02-22,nowcast,0,1,0,0,0,0.2807017543859649,1,Analamanga
2020-02-23,nowcast,0,1,0,0,0,0.2647058823529412,1,Analamanga
2020-02-24,nowcast,0,1,0,0,0,0.3695652173913043,1,Analamanga
2020-02-25,nowcast,0,1,0,0,0,0.35964912280701755,1,Analamanga
2020-02-26,nowcast,0,1,0,0,0,0.27205882352941174,1,Analamanga
2020-02-27,nowcast,0,1,0,0,0,0.3151515151515151,1,Analamanga
2020-02-28,nowcast,0,1,0,0,0,0.3282051282051282,1,Analamanga
2020-02-29,nowcast,0,1,0,0,0,0.3524229074889868,1,Analamanga
2020-03-01,nowcast,0,1,0,0,0,0.3426294820717131,1,Analamanga
2020-03-02,nowcast,0,1,0,0,0,0.48148148148148145,1,Analamanga
2020-03-03,nowcast,0,1,0,0,0,0.4725609756097561,1,Analamanga
2020-03-04,nowcast,0,1,0,0,0,0.514745308310992,1,Analamanga
2020-03-05,nowcast,0,2,0,0,0,0.5907990314769975,1,Analamanga
2020-03-06,nowcast,0,2,0,1,1,0.6666666666666666,1,Analamanga
2020-03-07,nowcast,0,2,0,1,1,0.7467532467532467,1,Analamanga
2020-03-08,nowcast,0,2,0,1,1,0.8977035490605428,1,Analamanga
2020-03-09,nowcast,0,2,0,1,1,1.1024590163934427,1,Analamanga
2020-03-10,nowcast,0,3,0,1,1,1.2834008097165992,1,Analamanga
2020-03-11,nowcast,0,3,0,1,1,1.526,1,Analamanga
2020-03-12,nowcast,0,4,1,2,2,1.812,1,Analamanga
2020-03-13,nowcast,0,4,1,2,2,2.03,1,Analamanga
2020-03-14,nowcast,0,5,0,2,2,2.37,1,Analamanga
2020-03-15,nowcast,0,5,0,2,2,2.572,1,Analamanga
2020-03-16,nowcast,0,5,1,3,2.5,2.724,1,Analamanga
2020-03-17,nowcast,0,5,1,3,3,2.794,1,Analamanga
2020-03-18,nowcast,0,5,1,3,3,2.824,1,Analamanga
2020-03-19,nowcast,0,5,1,3,3,2.856,1,Analamanga
2020-03-20,nowcast,0,5,0,2,2,2.636,1,Analamanga
2020-03-21,nowcast,1,5,0,2,2,2.49,1,Analamanga
2020-03-22,nowcast,0,4,0,2,2,2.278,1,Analamanga
2020-03-23,nowcast,0,4,0,2,2,2.284,1,Analamanga
2020-03-24,nowcast,0,4,0,2,2,2.296,1,Analamanga
2020-03-25,nowcast,0,4,1,2,2,2.034,1,Analamanga
2020-03-26,nowcast,0,4,1,2,2,1.94,1,Analamanga
2020-03-27,nowcast,0,4,1,2,2,1.786,1,Analamanga
2020-03-28,nowcast,0,4,1,2,2,1.912,1,Analamanga
2020-03-29,nowcast,0,4,1,2,2,1.798,1,Analamanga
2020-03-30,nowcast,0,4,1,2,2,1.828,1,Analamanga
2020-03-31,nowcast,0,3,1,2,2,1.678,1,Analamanga
2020-04-01,nowcast,0,3,0,1,1,1.592,1,Analamanga
2020-04-02,nowcast,0,3,0,1,1,1.554,1,Analamanga
2020-04-03,nowcast,0,3,0,1,1,1.576,1,Analamanga
2020-04-04,nowcast,0,3,0,1,1,1.394,1,Analamanga
2020-04-05,nowcast,0,3,0,1,1,1.244,1,Analamanga
2020-04-06,nowcast,0,3,0,1,1,1.232,1,Analamanga
2020-04-07,nowcast,0,3,0,1,1,1.172,1,Analamanga
2020-04-08,nowcast,0,2,0,1,1,1.15,1,Analamanga
2020-04-09,nowcast,0,2,0,1,1,1.082,1,Analamanga
2020-04-10,nowcast,0,2,0,1,1,0.96,1,Analamanga
2020-04-11,nowcast,0,2,0,1,1,1.008,1,Analamanga
2020-04-12,nowcast,0,2,0,1,1,0.944,1,Analamanga
2020-04-13,nowcast,0,2,0,1,1,0.846,1,Analamanga
2020-04-14,nowcast,0,2,0,1,1,0.76,1,Analamanga
2020-04-15,nowcast,0,2,0,0,0,0.69,1,Analamanga
2020-04-16,nowcast,0,2,0,0,0,0.698,1,Analamanga
2020-04-17,nowcast,0,2,0,0,0,0.648,1,Analamanga
2020-04-18,nowcast,0,2,0,1,1,0.77,1,Analamanga
2020-04-19,nowcast,0,2,0,1,1,0.858,1,Analamanga
2020-04-20,nowcast,0,2,0,1,1,0.99,1,Analamanga
2020-04-21,nowcast,0,3,0,1,1,1.222,1,Analamanga
2020-04-22,nowcast,0,3,0,1,1,1.23,1,Analamanga
2020-04-23,nowcast,0,3,0,1,1,1.248,1,Analamanga
2020-04-24,nowcast,0,3,0,1,1,1.302,1,Analamanga
2020-04-25,nowcast,0,3,0,1,1,1.446,1,Analamanga
2020-04-26,nowcast,0,3,0,1,1,1.508,1,Analamanga
2020-04-27,nowcast,0,3,0,1,1,1.594,1,Analamanga
2020-04-28,nowcast,0,3,0,1,1,1.68,1,Analamanga
2020-04-29,nowcast,0,3,1,2,2,1.662,1,Analamanga
2020-04-30,nowcast,0,4,1,2,2,1.762,1,Analamanga
2020-05-01,nowcast,0,4,1,2,2,1.754,1,Analamanga
2020-05-02,nowcast,0,4,1,2,2,1.884,1,Analamanga
2020-05-03,nowcast,0,4,1,2,2,2.03,1,Analamanga
2020-05-04,nowcast,0,4,0,2,2,2.274,1,Analamanga
2020-05-05,nowcast,0,4,0,2,2,2.438,1,Analamanga
2020-05-06,nowcast,0,5,0,2,2,2.558,1,Analamanga
2020-05-07,nowcast,1,6,1,3,3,3.004,1,Analamanga
2020-05-08,nowcast,0,6,1,3,3,3.364,1,Analamanga
2020-05-09,nowcast,1,6,1,3,3,3.43,1,Analamanga
2020-05-10,nowcast,0,6,2,4,4,3.916,1,Analamanga
2020-05-11,nowcast,1,7,2,4,4,4.132,1,Analamanga
2020-05-12,nowcast,1,7,3,5,4,4.306,1,Analamanga
2020-05-13,nowcast,1,7,3,5,4,4.452,1,Analamanga
2020-05-14,nowcast,1,8,3,5,4,4.57,1,Analamanga
2020-05-15,nowcast,1,8,2,5,5,5.276,1,Analamanga
2020-05-16,nowcast,2,9,3,6,5,5.77,1,Analamanga
2020-05-17,nowcast,2,10,3,6,6,6.376,1,Analamanga
2020-05-18,nowcast,3,11,4,7,7,6.958,1,Analamanga
2020-05-19,nowcast,3,12,5,8,7,7.612,1,Analamanga
2020-05-20,nowcast,3,12,7,10,8,8.19,1,Analamanga
2020-05-21,nowcast,4,13,7,10,8.5,8.67,1,Analamanga
2020-05-22,nowcast,5,14,6,10,9,9.526,1,Analamanga
2020-05-23,nowcast,4,14,8,11,10,9.69,1,Analamanga
2020-05-24,nowcast,4,14,6,10,10,9.984,1,Analamanga
2020-05-25,nowcast,5,15,7,11,10,10.462,1,Analamanga
2020-05-26,nowcast,4,15,7,11,10,10.678,1,Analamanga
2020-05-27,nowcast,6,16,8,12,11,10.776,1,Analamanga
2020-05-28,nowcast,6,16,9,13,11,11.432,1,Analamanga
2020-05-29,nowcast,6,16,9,13,11,11.48,1,Analamanga
2020-05-30,nowcast,6,17,8,12,11,11.506,1,Analamanga
2020-05-31,nowcast,6,17,9,13,12,12.144,1,Analamanga
2020-06-01,nowcast,7,19,9,14,13,13.204,1,Analamanga
2020-06-02,nowcast,7,19,9,14,13,13.372,1,Analamanga
2020-06-03,nowcast,7,22,10,15,14,14.814,1,Analamanga
2020-06-04,nowcast,7,23,11,17,16,16.186,1,Analamanga
2020-06-05,nowcast,10,26,13,19,17,17.772,1,Analamanga
2020-06-06,nowcast,10,28,15,22,20,20.088,1,Analamanga
2020-06-07,nowcast,13,31,18,25,22,22.698,1,Analamanga
2020-06-08,nowcast,15,36,18,27,25,25.864,1,Analamanga
2020-06-09,nowcast,16,38,22,31,29,29.292,1,Analamanga
2020-06-10,nowcast,19,44,24,33,31,32.192,1,Analamanga
2020-06-11,nowcast,21,48,27,37,35.5,36.03,1,Analamanga
2020-06-12,nowcast,27,53,32,42,39,39.992,1,Analamanga
2020-06-13,nowcast,31,60,34,46,44,45.262,1,Analamanga
2020-06-14,nowcast,31,63,40,53,48,48.994,1,Analamanga
2020-06-15,nowcast,37,71,44,57,54,54.122,1,Analamanga
2020-06-16,nowcast,37,75,51,64,59,59.87,1,Analamanga
